player_id,name,team,position,value,rds-played,tot-sel,avg-per-rd,rating,points-last-rd,primary-accent,Club,player_index,names_fantasy,names_stats
110619,K. Rowe,Real Salt Lake,MID,4.9,18,0.08%,2.11,$129K,1,38,RSL,338.0,K. Rowe-RSL,K. Rowe-RSL
227733,K. Smith,Orlando City SC,DEF,4.5,23,0.05%,2.09,$94K,-1,48,ORL,607.0,K. Smith-ORL,K. Smith-ORL
151954,D. Serna,Colorado Rapids,MID,4.3,14,0.04%,2.07,$149K,DNP,29,COL,389.0,D. Serna-COL,D. Serna-COL
95786,L. Bangoura,Vancouver Whitecaps FC,MID,4.8,17,0.01%,2.06,$138K,DNP,35,VAN,250.0,L. Bangoura-VAN,L. Bangoura-VAN
425625,M. Choiniere,Montreal Impact,MID,4.4,17,0.04%,2.06,$126K,DNP,35,MTL,387.0,M. Choiniere-MTL,M. Choiniere-MTL
16248,J. Hoyte,FC Cincinnati,DEF,4,17,1.97%,2.06,$115K,DNP,35,CIN,580.0,J. Hoyte-CIN,J. Hoyte-CIN
244410,N. Tolo,Seattle Sounders FC,DEF,4.6,22,0.12%,2.05,$103K,DNP,45,SEA,600.0,N. Tolo-SEA,N. Tolo-SEA
95186,F. Adi,FC Cincinnati,FWD,7,12,0.07%,2,$292K,DNP,24,CIN,302.0,F. Adi-CIN,F. Adi-CIN
224430,E. Alvarez,LA Galaxy,MID,4.1,14,0.30%,2,$147K,DNP,28,LA,318.0,E. Alvarez-LA,E. Alvarez-LA
425622,C. Bayiha,Montreal Impact,MID,4,11,1.80%,2,$182K,DNP,22,MTL,357.0,C. Bayiha-MTL,C. Bayiha-MTL
243974,H. Bwana,Seattle Sounders FC,MID,4.2,15,0.04%,2,$140K,DNP,30,SEA,248.0,H. Bwana-SEA,H. Bwana-SEA
234406,A. Crognale,Columbus Crew SC,DEF,4,12,0.44%,2,$167K,DNP,24,CLB,370.0,A. Crognale-CLB,A. Crognale-CLB
131840,C. Duvall,Houston Dynamo,DEF,4.9,1,0.03%,2,"$2,450K",DNP,2,HOU,492.0,C. Duvall-HOU,C. Duvall-HOU
201397,A. Fontana,Philadelphia Union,MID,4.1,8,0.05%,2,$257K,1,16,PHI,239.0,A. Fontana-PHI,A. Fontana-PHI
204843,M. Jadama,Portland Timbers,DEF,4,1,0.39%,2,"$2,000K",DNP,2,POR,418.0,M. Jadama-POR,M. Jadama-POR
60536,D. Jakovic,Los Angeles Football Club,DEF,4.2,3,0.08%,2,$700K,DNP,6,LAFC,478.0,D. Jakovic-LAFC,D. Jakovic-LAFC
425640,D. Kinumbe,Montreal Impact,DEF,4,1,0.91%,2,"$2,000K",DNP,2,MTL,508.0,D. Kinumbe-MTL,D. Kinumbe-MTL
110118,M. Lampson,LA Galaxy,GK,4.4,1,0.08%,2,"$2,200K",DNP,2,LA,687.0,M. Lampson-LA,M. Lampson-LA
248436,D. Martinez,Real Salt Lake,FWD,4.9,1,0.01%,2,"$2,450K",DNP,2,RSL,539.0,D. Martinez-RSL,D. Martinez-RSL
220150,J. Rennicks,New England Revolution,FWD,4.9,2,0.05%,2,"$1,225K",DNP,4,NE,581.0,J. Rennicks-NE,J. Rennicks-NE
426630,T. Roberts,FC Dallas,MID,4.5,6,0.05%,2,$375K,DNP,12,DAL,572.0,T. Roberts-DAL,T. Roberts-DAL
234410,A. Sejdic,Montreal Impact,MID,4.4,1,0.03%,2,"$2,200K",DNP,2,MTL,465.0,A. Sejdic-MTL,A. Sejdic-MTL
436107,G. Yow,D.C. United,MID,4,1,1.08%,2,"$2,000K",DNP,2,DC,525.0,G. Yow-DC,G. Yow-DC
423511,R. Dally,FC Cincinnati,FWD,4,12,0.66%,1.92,$174K,DNP,23,CIN,293.0,R. Dally-CIN,R. Dally-CIN
234764,K. Krolicki,Montreal Impact,MID,4,10,0.77%,1.9,$211K,DNP,19,MTL,554.0,K. Krolicki-MTL,K. Krolicki-MTL
200784,J. Nelson,FC Dallas,DEF,4,9,0.99%,1.89,$236K,DNP,17,DAL,548.0,J. Nelson-DAL,J. Nelson-DAL
202195,A. Danladi,Minnesota United FC,FWD,4,24,0.64%,1.88,$89K,DNP,45,MIN,167.0,A. Danladi-MIN,A. Danladi-MIN
111253,J. Gyau,FC Cincinnati,MID,4.4,8,0.04%,1.88,$294K,-2,15,CIN,408.0,J. Gyau-CIN,J. Gyau-CIN
149669,J. Cabezas,Houston Dynamo,MID,5.3,15,0.03%,1.87,$190K,DNP,28,HOU,274.0,J. Cabezas-HOU,J. Cabezas-HOU
243532,D. Pereira,Atlanta United FC,MID,4,18,0.20%,1.83,$122K,DNP,33,ATL,366.0,D. Pereira-ATL,D. Pereira-ATL
